Job,Operation,Machine,Start,Duration,End
1,1,2,12,2,14
1,2,4,18,4,22
1,3,8,22,2,24
2,1,1,2,4,6
2,2,4,7,3,10
2,3,6,11,3,14
3,1,3,7,4,11
3,2,5,14,2,16
3,3,8,16,2,18
4,1,2,2,3,5
4,2,5,8,5,13
4,3,6,14,3,17
5,1,3,4,3,7
5,2,5,13,1,14
5,3,7,14,4,18
6,1,2,7,5,12
6,2,4,16,2,18
6,3,7,18,3,21
7,1,2,0,2,2
7,2,4,3,4,7
7,3,8,7,3,10
8,1,1,9,3,12
8,2,5,16,5,21
8,3,7,21,3,24
9,1,1,0,2,2
9,2,4,2,1,3
9,3,9,3,5,8
10,1,1,6,3,9
10,2,4,13,3,16
10,3,6,17,4,21
11,1,2,5,2,7
11,2,4,10,3,13
11,3,9,13,5,18
12,1,3,0,4,4
12,2,5,4,4,8
12,3,6,8,3,11
