Job,Operation,Machine,Start,Duration,End
1,1,2,12,2,14
1,2,4,18,4,22
1,3,8,22,2,24
2,1,1,7,4,11
2,2,4,11,3,14
2,3,7,14,4,18
3,1,3,8,4,12
3,2,5,14,2,16
3,3,8,16,2,18
4,1,2,2,3,5
4,2,5,5,5,10
4,3,6,10,3,13
5,1,1,0,4,4
5,2,5,4,1,5
5,3,6,5,3,8
6,1,3,0,4,4
6,2,4,5,2,7
6,3,7,7,3,10
7,1,2,10,2,12
7,2,4,14,4,18
7,3,6,18,3,21
8,1,1,11,3,14
8,2,5,16,5,21
8,3,6,21,3,24
9,1,3,4,4,8
9,2,4,10,1,11
9,3,9,11,5,16
10,1,1,4,3,7
10,2,4,7,3,10
10,3,8,10,6,16
11,1,2,0,2,2
11,2,4,2,3,5
11,3,9,5,5,10
12,1,2,5,5,10
12,2,5,10,4,14
12,3,6,14,3,17
