Job,Operation,Machine,Start,Duration,End
1,1,3,12,3,15
1,2,4,18,4,22
1,3,8,22,2,24
2,1,2,2,5,7
2,2,4,9,3,12
2,3,6,12,3,15
3,1,1,5,6,11
3,2,5,12,2,14
3,3,8,14,2,16
4,1,1,11,4,15
4,2,5,15,5,20
4,3,6,21,3,24
5,1,2,7,5,12
5,2,5,14,1,15
5,3,6,15,3,18
6,1,3,8,4,12
6,2,4,12,2,14
6,3,7,16,3,19
7,1,2,12,2,14
7,2,4,14,4,18
7,3,6,18,3,21
8,1,1,0,3,3
8,2,5,3,5,8
8,3,7,8,3,11
9,1,1,3,2,5
9,2,4,8,1,9
9,3,9,10,5,15
10,1,3,0,4,4
10,2,4,5,3,8
10,3,6,8,4,12
11,1,2,0,2,2
11,2,4,2,3,5
11,3,9,5,5,10
12,1,3,4,4,8
12,2,5,8,4,12
12,3,7,12,4,16
