Job,Operation,Machine,Start,Duration,End
1,1,1,0,2,2
1,2,4,2,4,6
1,3,8,6,2,8
2,1,1,11,4,15
2,2,4,18,3,21
2,3,6,21,3,24
3,1,3,8,4,12
3,2,5,20,2,22
3,3,8,22,2,24
4,1,2,0,3,3
4,2,5,3,5,8
4,3,6,8,3,11
5,1,1,2,4,6
5,2,5,8,1,9
5,3,6,11,3,14
6,1,3,0,4,4
6,2,4,6,2,8
6,3,7,8,3,11
7,1,2,10,2,12
7,2,4,14,4,18
7,3,6,18,3,21
8,1,1,8,3,11
8,2,5,15,5,20
8,3,7,20,3,23
9,1,1,6,2,8
9,2,5,9,2,11
9,3,8,11,6,17
10,1,3,4,4,8
10,2,4,11,3,14
10,3,6,14,4,18
11,1,2,3,2,5
11,2,4,8,3,11
11,3,9,11,5,16
12,1,2,5,5,10
12,2,5,11,4,15
12,3,7,15,4,19
