Job,Operation,Machine,Start,Duration,End
1,1,1,0,2,2
1,2,4,2,4,6
1,3,8,6,2,8
2,1,1,2,4,6
2,2,4,6,3,9
2,3,7,9,4,13
3,1,3,0,4,4
3,2,5,8,2,10
3,3,8,10,2,12
4,1,2,0,3,3
4,2,5,3,5,8
4,3,6,8,3,11
5,1,3,8,3,11
5,2,5,15,1,16
5,3,7,16,4,20
6,1,3,4,4,8
6,2,4,9,2,11
6,3,6,11,4,15
7,1,2,10,2,12
7,2,4,18,4,22
7,3,8,22,3,25
8,1,2,3,5,8
8,2,5,10,5,15
8,3,6,15,3,18
9,1,1,6,2,8
9,2,4,11,1,12
9,3,9,12,5,17
10,1,1,8,3,11
10,2,4,15,3,18
10,3,6,18,4,22
11,1,2,8,2,10
11,2,4,12,3,15
11,3,8,15,6,21
12,1,3,11,4,15
12,2,5,16,4,20
12,3,7,20,4,24
