Job,Operation,Machine,Start,Duration,End
1,1,1,5,2,7
1,2,4,8,4,12
1,3,7,12,3,15
2,1,3,7,4,11
2,2,4,14,3,17
2,3,9,17,4,21
3,1,3,3,4,7
3,2,5,10,2,12
3,3,8,12,2,14
4,1,2,2,3,5
4,2,5,5,5,10
4,3,6,12,3,15
5,1,3,0,3,3
5,2,5,4,1,5
5,3,6,5,3,8
6,1,2,5,5,10
6,2,4,12,2,14
6,3,7,15,3,18
7,1,2,10,2,12
7,2,4,17,4,21
7,3,8,21,3,24
8,1,1,7,3,10
8,2,5,12,5,17
8,3,6,17,3,20
9,1,1,0,2,2
9,2,5,2,2,4
9,3,9,4,5,9
10,1,1,2,3,5
10,2,4,5,3,8
10,3,6,8,4,12
11,1,2,0,2,2
11,2,4,2,3,5
11,3,8,5,6,11
12,1,3,11,4,15
12,2,5,17,4,21
12,3,6,21,3,24
