Job,Operation,Machine,Start,Duration,End
1,1,2,12,2,14
1,2,4,19,4,23
1,3,8,25,2,27
2,1,3,4,4,8
2,2,4,12,3,15
2,3,6,17,3,20
3,1,3,8,4,12
3,2,5,17,2,19
3,3,8,21,2,23
4,1,2,2,3,5
4,2,5,6,5,11
4,3,6,14,3,17
5,1,2,5,5,10
5,2,5,16,1,17
5,3,6,20,3,23
6,1,3,0,4,4
6,2,4,7,2,9
6,3,7,10,3,13
7,1,2,10,2,12
7,2,4,15,4,19
7,3,7,20,4,24
8,1,1,5,3,8
8,2,5,11,5,16
8,3,7,17,3,20
9,1,1,0,2,2
9,2,5,4,2,6
9,3,9,8,5,13
10,1,1,2,3,5
10,2,4,9,3,12
10,3,8,14,6,20
11,1,2,0,2,2
11,2,4,4,3,7
11,3,6,8,6,14
12,1,1,8,6,14
12,2,5,19,4,23
12,3,6,24,3,27
