Job,Operation,Machine,Start,Duration,End
1,1,2,9,2,11
1,2,4,14,4,18
1,3,8,20,2,22
2,1,1,12,4,16
2,2,4,20,3,23
2,3,6,24,3,27
3,1,3,4,4,8
3,2,5,12,2,14
3,3,8,16,2,18
4,1,3,0,4,4
4,2,5,6,5,11
4,3,6,12,3,15
5,1,1,2,4,6
5,2,5,11,1,12
5,3,7,13,4,17
6,1,3,8,4,12
6,2,4,18,2,20
6,3,7,21,3,24
7,1,2,0,2,2
7,2,4,4,4,8
7,3,6,9,3,12
8,1,1,9,3,12
8,2,5,18,5,23
8,3,7,24,3,27
9,1,1,0,2,2
9,2,5,4,2,6
9,3,9,8,5,13
10,1,1,6,3,9
10,2,4,11,3,14
10,3,6,15,4,19
11,1,2,2,2,4
11,2,4,8,3,11
11,3,9,13,5,18
12,1,2,4,5,9
12,2,5,14,4,18
12,3,6,19,3,22
