Job,Operation,Machine,Start,Duration,End
1,1,1,0,2,2
1,2,4,4,4,8
1,3,6,9,2,11
2,1,2,3,5,8
2,2,4,13,3,16
2,3,9,17,4,21
3,1,3,8,4,12
3,2,5,16,2,18
3,3,7,19,4,23
4,1,2,0,3,3
4,2,5,4,5,9
4,3,6,11,3,14
5,1,1,5,4,9
5,2,5,13,1,14
5,3,6,18,3,21
6,1,3,0,4,4
6,2,4,8,2,10
6,3,7,11,3,14
7,1,2,10,2,12
7,2,4,19,4,23
7,3,6,24,3,27
8,1,1,11,3,14
8,2,5,18,5,23
8,3,7,24,3,27
9,1,1,9,2,11
9,2,5,14,2,16
9,3,8,18,6,24
10,1,1,2,3,5
10,2,4,10,3,13
10,3,6,14,4,18
11,1,2,8,2,10
11,2,4,16,3,19
11,3,9,21,5,26
12,1,3,4,4,8
12,2,5,9,4,13
12,3,7,14,4,18
