Job,Operation,Machine,Start,Duration,End
1,1,2,12,2,14
1,2,4,20,4,24
1,3,6,25,2,27
2,1,1,0,4,4
2,2,4,7,3,10
2,3,6,11,3,14
3,1,3,3,4,7
3,2,5,11,2,13
3,3,8,15,2,17
4,1,2,2,3,5
4,2,5,6,5,11
4,3,6,14,3,17
5,1,3,0,3,3
5,2,5,4,1,5
5,3,6,6,3,9
6,1,3,7,4,11
6,2,4,14,2,16
6,3,7,17,3,20
7,1,2,10,2,12
7,2,4,16,4,20
7,3,8,22,3,25
8,1,1,9,3,12
8,2,5,17,5,22
8,3,7,23,3,26
9,1,1,4,2,6
9,2,4,10,1,11
9,3,9,13,5,18
10,1,1,6,3,9
10,2,4,11,3,14
10,3,6,17,4,21
11,1,2,0,2,2
11,2,4,4,3,7
11,3,9,8,5,13
12,1,2,5,5,10
12,2,5,13,4,17
12,3,6,21,3,24
