Job,Operation,Machine,Start,Duration,End
1,1,1,12,2,14
1,2,4,20,4,24
1,3,6,25,2,27
2,1,2,9,5,14
2,2,4,17,3,20
2,3,6,22,3,25
3,1,3,7,4,11
3,2,5,15,2,17
3,3,8,19,2,21
4,1,1,2,4,6
4,2,5,9,5,14
4,3,6,15,3,18
5,1,3,4,3,7
5,2,5,14,1,15
5,3,7,16,4,20
6,1,2,4,5,9
6,2,4,15,2,17
6,3,7,20,3,23
7,1,2,0,2,2
7,2,4,5,4,9
7,3,6,10,3,13
8,1,1,9,3,12
8,2,5,17,5,22
8,3,7,23,3,26
9,1,1,0,2,2
9,2,4,4,1,5
9,3,9,6,5,11
10,1,1,6,3,9
10,2,4,12,3,15
10,3,6,18,4,22
11,1,2,2,2,4
11,2,4,9,3,12
11,3,9,13,5,18
12,1,3,0,4,4
12,2,5,5,4,9
12,3,7,10,4,14
