Job,Operation,Machine,Start,Duration,End
1,1,1,12,2,14
1,2,4,20,4,24
1,3,6,25,2,27
2,1,3,4,4,8
2,2,4,12,3,15
2,3,7,16,4,20
3,1,2,7,5,12
3,2,5,20,2,22
3,3,8,24,2,26
4,1,2,4,3,7
4,2,5,10,5,15
4,3,6,16,3,19
5,1,1,0,4,4
5,2,5,9,1,10
5,3,6,12,3,15
6,1,3,8,4,12
6,2,4,18,2,20
6,3,9,21,5,26
7,1,2,0,2,2
7,2,4,4,4,8
7,3,6,9,3,12
8,1,1,6,3,9
8,2,5,15,5,20
8,3,7,21,3,24
9,1,1,4,2,6
9,2,4,11,1,12
9,3,8,14,6,20
10,1,1,9,3,12
10,2,4,15,3,18
10,3,6,19,4,23
11,1,2,2,2,4
11,2,4,8,3,11
11,3,9,12,5,17
12,1,3,0,4,4
12,2,5,5,4,9
12,3,7,10,4,14
