1221057.6076846,1221058.1047699,25.0,0.038461538461538464,0.030303030303030304,0.03431720866370476
1221058.2257366,1221059.6469819,25.0,0.038461538461538464,0.030303030303030304,0.034811240095236194
1221059.7790121,1221061.2238422,25.0,0.038461538461538464,0.03125,0.03524118834498423
1221061.3686628,1221062.5422197,25.0,0.038461538461538464,0.03225806451612903,0.03478582226079445
1221062.6355054,1221063.7664163,25.0,0.038461538461538464,0.03225806451612903,0.03501870209879108
1221063.8832986,1221065.1280865,25.0,0.038461538461538464,0.03333333333333333,0.03559772921841887
1221065.2297129,1221066.3358836,25.0,0.038461538461538464,0.03225806451612903,0.036056786290379166
1221066.431531,1221067.6621911,25.0,0.038461538461538464,0.03225806451612903,0.035885354912051234
1221067.7600191,1221069.090191,24.0,0.04,0.03333333333333333,0.03646174196174196
1221069.200421,1221070.4084122,24.0,0.04,0.03333333333333333,0.036739042566628764
1221070.5176299,1221071.6617469,24.0,0.04,0.03125,0.03623514273083238
1221071.7761689,1221073.1021284,24.0,0.04,0.03125,0.035403218195000724
1221073.2132771,1221074.5815703,24.0,0.04,0.03125,0.03541896218404839
1221074.7008942,1221075.91086,24.0,0.04,0.03333333333333333,0.03574336519164105
1221076.1432271,1221077.2341264,24.0,0.04,0.03125,0.03516679209998175
1221077.3228632,1221078.4318863,24.0,0.04,0.03225806451612903,0.03585793150531748
1221078.5505826,1221079.8376471,24.0,0.04,0.03225806451612903,0.035482999923489356
1221079.9373029,1221081.1715368,24.0,0.04,0.03333333333333333,0.03524840357598978
1221081.2724592,1221082.4449061,24.0,0.04,0.03333333333333333,0.0356101076445904
1221082.5668032,1221083.6321542,24.0,0.04,0.03125,0.035233524462806996
1221083.7415462,1221085.0723403,24.0,0.04,0.030303030303030304,0.035463153704533006
1221085.1936001,1221086.4214684,24.0,0.04,0.03333333333333333,0.036103630724320365
1221086.527474,1221087.6913877,24.0,0.04,0.03333333333333333,0.03523663565042875
1221087.8089765,1221088.9010678,24.0,0.04,0.03333333333333333,0.0353474730888524
1221089.0214072,1221090.2137589,24.0,0.04,0.03333333333333333,0.03554442619959861
1221090.3275172,1221091.4382576,24.0,0.04,0.03333333333333333,0.03575515416894727
1221091.5500091,1221092.7223494,24.0,0.04,0.03225806451612903,0.03571079225639848
1221092.8406068,1221094.1044558,24.0,0.04,0.03225806451612903,0.0355127066523062
1221094.338693,1221095.4828376,24.0,0.04,0.03225806451612903,0.03552447457786724
1221095.6041865,1221096.8143903,24.0,0.04,0.03225806451612903,0.03508842276250507
1221096.9277838,1221098.226365,24.0,0.04,0.03225806451612903,0.035791520266492446
1221098.339762,1221099.6320053,24.0,0.04,0.03333333333333333,0.036358784893267646
1221099.7454785,1221100.9540134,24.0,0.04,0.03333333333333333,0.03654807516876482
1221101.0597695,1221102.2642358,24.0,0.04,0.03333333333333333,0.03683814716573337
1221102.371113,1221103.5587863,24.0,0.04,0.03333333333333333,0.0371392783461749
1221103.6627786,1221104.9958027,24.0,0.04,0.03333333333333333,0.03680183992252957
1221105.1312777,1221106.4339029,24.0,0.04,0.03333333333333333,0.03648385331143951
1221106.5437192,1221107.8368173,24.0,0.04,0.03333333333333333,0.03644681627440248
1221107.9332552,1221109.1532731,24.0,0.04,0.03333333333333333,0.03677248677248677
1221109.2582366,1221110.3981011,24.0,0.04,0.03125,0.03507684501003466
1221110.5129268,1221111.7170297,24.0,0.04,0.03125,0.0353130239168198
1221111.8288227,1221113.0997132,24.0,0.04,0.03125,0.03595791492989768
1221113.2003209,1221114.5888854,24.0,0.04,0.03333333333333333,0.03579032461791082
1221114.699844,1221115.9934203,24.0,0.04,0.030303030303030304,0.03578900235018143
1221116.1058161,1221117.3968052,24.0,0.04,0.03225806451612903,0.03647563882992136
1221117.5061618,1221118.7487767,24.0,0.04,0.034482758620689655,0.03733867345936311
1221118.8623335,1221120.1021258,24.0,0.04,0.03333333333333333,0.03706069218138183
1221120.2150563,1221121.3696328,24.0,0.04,0.030303030303030304,0.036505601040083796
1221121.4906977,1221122.8566765,24.0,0.04,0.03225806451612903,0.035937822878312306
1221122.9808317,1221124.2713312,24.0,0.04,0.03333333333333333,0.03581506743575709
1221124.4040204,1221125.5110353,24.0,0.04,0.03125,0.036122139594122346
1221125.6423609,1221126.8927278,24.0,0.04,0.03333333333333333,0.036272535893225544
1221127.0412909,1221128.3108168,24.0,0.04,0.03333333333333333,0.035437013178392485
1221128.4296395,1221129.5753536,24.0,0.04,0.03333333333333333,0.03598556552004828
1221129.6802728,1221130.7450976,24.0,0.04,0.03333333333333333,0.036392109805902906
1221130.8665109,1221132.0116426,24.0,0.04,0.03333333333333333,0.035495165115854765
1221132.1166307,1221133.4221742,24.0,0.04,0.03333333333333333,0.035758255792738544
1221133.6689153,1221134.9045551,24.0,0.04,0.03333333333333333,0.03560600255427841
