Test,Objective,IterationReachBest
1,27.0,3
2,27.0,2
3,27.0,10
4,27.0,4
5,27.0,6
6,27.0,5
7,27.0,12
8,27.0,1
9,27.0,4
10,27.0,4
MinObj,27.0
MaxObj,27.0
MeanObj,27.00
MinIter,1
MaxIter,12
MeanIter,5.10
