Job,Operation,Machine,Start,Duration,End
1,1,1,12,2,14
1,2,4,18,4,22
1,3,8,22,2,24
2,1,3,4,4,8
2,2,4,10,3,13
2,3,9,13,4,17
3,1,2,9,5,14
3,2,5,18,2,20
3,3,8,20,2,22
4,1,1,8,4,12
4,2,5,13,5,18
4,3,6,21,3,24
5,1,3,8,3,11
5,2,5,12,1,13
5,3,6,15,3,18
6,1,3,0,4,4
6,2,4,5,2,7
6,3,7,7,3,10
7,1,2,7,2,9
7,2,4,14,4,18
7,3,6,18,3,21
8,1,1,0,3,3
8,2,5,3,5,8
8,3,6,8,3,11
9,1,1,6,2,8
9,2,4,13,1,14
9,3,8,14,6,20
10,1,1,3,3,6
10,2,4,7,3,10
10,3,6,11,4,15
11,1,2,0,2,2
11,2,4,2,3,5
11,3,9,5,5,10
12,1,2,2,5,7
12,2,5,8,4,12
12,3,7,12,4,16
