Job,Operation,Machine,Start,Duration,End
1,1,1,12,2,14
1,2,4,18,4,22
1,3,8,22,2,24
2,1,1,0,4,4
2,2,4,6,3,9
2,3,7,9,4,13
3,1,2,2,5,7
3,2,5,9,2,11
3,3,8,11,2,13
4,1,3,0,4,4
4,2,5,4,5,9
4,3,6,9,3,12
5,1,3,8,3,11
5,2,5,15,1,16
5,3,7,16,4,20
6,1,2,9,5,14
6,2,4,16,2,18
6,3,7,20,3,23
7,1,2,0,2,2
7,2,4,2,4,6
7,3,6,6,3,9
8,1,1,9,3,12
8,2,5,16,5,21
8,3,6,21,3,24
9,1,1,7,2,9
9,2,4,15,1,16
9,3,8,16,6,22
10,1,1,4,3,7
10,2,4,9,3,12
10,3,6,12,4,16
11,1,2,7,2,9
11,2,4,12,3,15
11,3,9,15,5,20
12,1,3,4,4,8
12,2,5,11,4,15
12,3,6,16,3,19
