Job,Operation,Machine,Start,Duration,End
1,1,1,12,2,14
1,2,4,17,4,21
1,3,8,21,2,23
2,1,1,8,4,12
2,2,4,14,3,17
2,3,9,17,4,21
3,1,3,0,4,4
3,2,5,4,2,6
3,3,8,6,2,8
4,1,3,7,4,11
4,2,5,12,5,17
4,3,6,17,3,20
5,1,3,4,3,7
5,2,5,11,1,12
5,3,6,12,3,15
6,1,2,4,5,9
6,2,4,12,2,14
6,3,7,14,3,17
7,1,2,0,2,2
7,2,4,2,4,6
7,3,6,6,3,9
8,1,1,2,3,5
8,2,5,6,5,11
8,3,7,11,3,14
9,1,1,0,2,2
9,2,5,2,2,4
9,3,9,4,5,9
10,1,1,5,3,8
10,2,4,9,3,12
10,3,8,12,6,18
11,1,2,2,2,4
11,2,4,6,3,9
11,3,9,9,5,14
12,1,2,9,5,14
12,2,5,17,4,21
12,3,6,21,3,24
