Job,Operation,Machine,Start,Duration,End
1,1,2,2,2,4
1,2,4,5,4,9
1,3,8,9,2,11
2,1,1,5,4,9
2,2,4,16,3,19
2,3,9,19,4,23
3,1,3,7,4,11
3,2,5,15,2,17
3,3,6,18,3,21
4,1,2,4,3,7
4,2,5,10,5,15
4,3,8,15,5,20
5,1,3,4,3,7
5,2,5,9,1,10
5,3,6,11,3,14
6,1,3,11,4,15
6,2,4,19,2,21
6,3,7,21,3,24
7,1,2,7,2,9
7,2,4,12,4,16
7,3,7,16,4,20
8,1,3,0,4,4
8,2,5,4,5,9
8,3,7,9,3,12
9,1,1,0,2,2
9,2,5,2,2,4
9,3,9,4,5,9
10,1,1,2,3,5
10,2,4,9,3,12
10,3,6,14,4,18
11,1,2,0,2,2
11,2,4,2,3,5
11,3,6,5,6,11
12,1,2,9,5,14
12,2,5,17,4,21
12,3,6,21,3,24
