Job,Operation,Machine,Start,Duration,End
1,1,2,2,2,4
1,2,4,5,4,9
1,3,8,9,2,11
2,1,3,7,4,11
2,2,4,12,3,15
2,3,6,16,3,19
3,1,3,3,4,7
3,2,5,10,2,12
3,3,8,12,2,14
4,1,1,8,4,12
4,2,5,16,5,21
4,3,6,21,3,24
5,1,3,0,3,3
5,2,5,4,1,5
5,3,7,5,4,9
6,1,2,9,5,14
6,2,4,15,2,17
6,3,9,17,5,22
7,1,3,11,4,15
7,2,4,17,4,21
7,3,8,21,3,24
8,1,1,2,3,5
8,2,5,5,5,10
8,3,7,10,3,13
9,1,1,0,2,2
9,2,5,2,2,4
9,3,9,4,5,9
10,1,1,5,3,8
10,2,4,9,3,12
10,3,6,12,4,16
11,1,2,0,2,2
11,2,4,2,3,5
11,3,6,5,6,11
12,1,2,4,5,9
12,2,5,12,4,16
12,3,7,16,4,20
