Job,Operation,Machine,Start,Duration,End
1,1,2,7,2,9
1,2,4,11,4,15
1,3,8,15,2,17
2,1,1,9,4,13
2,2,4,18,3,21
2,3,6,21,3,24
3,1,3,11,4,15
3,2,5,19,2,21
3,3,8,21,2,23
4,1,1,5,4,9
4,2,5,9,5,14
4,3,6,14,3,17
5,1,3,4,3,7
5,2,5,8,1,9
5,3,7,9,4,13
6,1,2,2,5,7
6,2,4,9,2,11
6,3,7,13,3,16
7,1,2,0,2,2
7,2,4,2,4,6
7,3,6,6,3,9
8,1,3,7,4,11
8,2,5,14,5,19
8,3,7,19,3,22
9,1,1,0,2,2
9,2,5,2,2,4
9,3,9,4,5,9
10,1,1,2,3,5
10,2,4,6,3,9
10,3,8,9,6,15
11,1,2,9,2,11
11,2,4,15,3,18
11,3,9,18,5,23
12,1,3,0,4,4
12,2,5,4,4,8
12,3,6,9,3,12
