Test,Objective,IterationReachBest
1,24.0,15
2,24.0,48
3,24.0,6
4,24.0,9
5,24.0,6
6,24.0,2
7,24.0,12
8,25.0,0
9,24.0,21
10,25.0,0
MinObj,24.0
MaxObj,25.0
MeanObj,24.20
MinIter,0
MaxIter,48
MeanIter,11.90
